Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description,
1114313,201,End keyed embed fragment,0,BN,,!Cx,Encapsulation,,See description for 200,
1114314,202,End keyed embed ID sequence,0,BN,,!Cx,Encapsulation,,See description for 200,
1114315,203,Begin encapsulated binary data,0,BN,,!Cx,Encapsulation,,"Arbitrary binary data (base64 encoded, no semantic significance assigned to it)",
1114316,204,End encapsulated binary data,0,BN,,!Cx,Encapsulation,,See description for 203,
1114317,205,DCE Version Selector 3.03a,0,BN,,!Cx,DCE versions,,,
1114318,206,Unicode replacement character,0,ON,,So,Miscellaneous,,Used to replace an incoming character whose value is unknown or unrepresentable in Unicode,
1114319,207,Replacement character for unavailable Dc,0,ON,,So,Miscellaneous,,Used to replace an incoming character whose value is not mapped to a Dc (document component),
1114320,208,Start of heading,0,BN,,Cc,Controls,,,
1114321,209,Start of text,0,BN,,Cc,Controls,,,
1114322,210,End of text,0,BN,,Cc,Controls,,,
1114323,211,End of transmission,0,BN,,Cc,Controls,,,
1114324,212,Enquiry,0,BN,,Cc,Controls,,,
1114325,213,Acknowledge,0,BN,,Cc,Controls,,,
1114326,214,Bell,0,BN,,Cc,Controls,,,
1114327,215,Shift out,0,BN,,Cc,Controls,,,
1114328,216,Shift in,0,BN,,Cc,Controls,,,
1114329,217,Data link escape,0,BN,,Cc,Controls,,,
1114330,218,Device control one,0,BN,,Cc,Controls,"xon, resume transmission",,
1114331,219,Device control two,0,BN,,Cc,Controls,,,
1114332,220,Device control three,0,BN,,Cc,Controls,"xoff, pause transmission",,
1114333,221,Device control four,0,BN,,Cc,Controls,,,
1114334,222,Negative acknowledge,0,BN,,Cc,Controls,,,
1114335,223,Synchronous idle,0,BN,,Cc,Controls,,,
1114336,224,End of transmission block,0,BN,,Cc,Controls,,,
1114337,225,Cancel,0,BN,,Cc,Controls,,,
1114338,226,End of medium,0,BN,,Cc,Controls,,,
1114339,227,Substitute,0,BN,,Cc,Controls,,,
1114340,228,Escape,0,BN,,Cc,Controls,,,
1114341,229,Information separator four,0,B,,Cc,Controls,,,
1114342,230,Information separator three,0,B,,Cc,Controls,,,
1114343,231,Information separator two,0,B,,Cc,Controls,,,
1114344,232,Information separator one,0,S,,Cc,Controls,,,
1114345,233,Hyphen-minus,0,ES,,Pd,Punctuation,<ambiguous>31 237,,
1114346,234,Delete,0,BN,,Cc,Controls,,,
1114347,235,Begin document,0,BN,,!Cx,Semantic,,Beginning of a document,
1114348,236,End document,0,BN,,!Cx,Semantic,,,
1114349,237,Minus,0,ES,,Sm,Mathematics,,,
1114350,238,Full stop/decimal point,0,CS,,Po,Punctuation,<ambiguous>12 32,,
1114351,239,Line feed,0,B,,Cc,Punctuation,,"This character instructs a terminal to move the cursor to the beginning of the line horizontally without advancing to the next line vertically. This character is not directly equivalent to ASCII line feed, because that is sometimes used for a combined new line and carriage return. For representing the ASCII line feed, use Dc 120.",
