Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description
1114557,445,File flag: dirty,0,BN,,!Cx,.Semantic:fileflag,dirty,Dirty compressed file.
1114558,446,File flag: compressed blocks,0,BN,,!Cx,.Semantic:fileflag,comprblk,Compressed cluster or blocks.
1114559,447,File flag: no compress,0,BN,,!Cx,.Semantic:fileflag,nocomp,Do not compress.
1114560,448,File flag: encrypted,0,BN,,!Cx,.Semantic:fileflag,encrypt,Encrypted file.
1114561,449,File flag: indexed directory,0,BN,,!Cx,.Semantic:fileflag,index,Hash-indexed directory.
1114562,450,File flag: btree,0,BN,,!Cx,.Semantic:fileflag,btree,Btree format directory.
1114563,451,File flag: imagic,0,BN,,!Cx,.Semantic:fileflag,imagic,AFS magic directory inode.
1114564,452,File flag: journal data,0,BN,,!Cx,.Semantic:fileflag,journal,Journal file data.
1114565,453,File flag: no tail,0,BN,,!Cx,.Semantic:fileflag,notail,Do not merge tail.
1114566,454,File flag: dir sync,0,BN,,!Cx,.Semantic:fileflag,dirsync,Synchronous directory updates.
1114567,455,File flag: top dir,0,BN,,!Cx,.Semantic:fileflag,topdir,Top of directory hierarchy.
1114568,456,File flag: huge file,0,BN,,!Cx,.Semantic:fileflag,hugefile,Huge file format.
1114569,457,File flag: extent,0,BN,,!Cx,.Semantic:fileflag,extent,Extents format.
1114570,458,File flag: verity,0,BN,,!Cx,.Semantic:fileflag,verity,fs-verity enabled.
1114571,459,File flag: ea inode,0,BN,,!Cx,.Semantic:fileflag,eainode,Large extended attribute inode.
1114572,460,File flag: eof blocks,0,BN,,!Cx,.Semantic:fileflag,eofblocks,Blocks allocated beyond EOF.
1114573,461,File flag: no cow,0,BN,,!Cx,.Semantic:fileflag,nocow,Do not copy-on-write.
1114574,462,File flag: dax,0,BN,,!Cx,.Semantic:fileflag,dax,Direct access DAX mode.
1114575,463,File flag: inline data,0,BN,,!Cx,.Semantic:fileflag,inlinedata,Inode contains inline data.
1114576,464,File flag: project inherit,0,BN,,!Cx,.Semantic:fileflag,projinherit,Project inheritance.
1114577,465,File flag: casefold,0,BN,,!Cx,.Semantic:fileflag,casefold,Directory casefolding.
1114578,466,File flag: reserved for ext2,0,BN,,!Cx,.Semantic:fileflag,reservedforext2,Reserved flag for ext2/ext4.
1114579,467,Maybe value,0,BN,,!Cx,.Semantic,:~ [string],"Indicates that a value may be the case, but maybe not."
1114594,482,Mac OS Finder label: none,0,BN,,!Cx,.Semantic,,Finder label index 0.
1114595,483,"Mac OS Finder label 1: (default: ""Project 2"")",0,BN,,!Cx,.Semantic,<ambiguous>468 475,"Finder label index 1, Brown in Classic Mac OS and Gray in macOS."
1114596,484,"Mac OS Finder label 2: (default: ""Project 1"")",0,BN,,!Cx,.Semantic,<ambiguous>469 476,"Finder label index 2, Green."
