"Tangut definitions for Tangut block. Data from Andrew West's https://babelstone.co.uk/Unicode/unicode.js, https://www.unicode.org/wg2/docs/n4724-FiveAdditionalTangut.pdf, https://www.unicode.org/wg2/docs/n4851-TangutAdditions.pdf, and https://www.unicode.org/L2/L2023/23246-wg2-n5217r2.pdf",definition,reading,possible variant or error,notes,source
17215,to boil in a covered pot over a slow fire,,,,
17216,to scold,,,,
17217,dirt,,,,
17218,devil,,,,
17219,to envy,,,,
1721A,discontinuity,,,,
1721B,rare,,,,
1721C,to separate,,,,
1721D,to swear,,,,
1721E,to extinguish,,,,
1721F,wild goat,,,,
17220,wrong,,,,
17221,sexual desire,,,,
17222,conceited,,,,
17223,slanting,,,,
17224,tattered,,,,
17225,lascivious,,,,
17226,to confuse,,,,
17227,ghost,,,,
17228,to dig,,,,
17229,a transliteration,,,,
1722A,one,,,,
1722B,great-great-grandson,,,,
1722C,boots wearing in mud,,,,
1722D,to make a detour,,,,
1722E,to die,,,,
1722F,,,,,
17230,to lose,,,,
17231,an auxiliary word,,,,
17232,far,,,,
17233,a transliteration,,,,
17234,presently,,,,
17235,to combine,,,,
17236,to die,,,,
17237,exercise evil influence,,,,
17238,to combine,,,,
17239,to inspect,,,,
1723A,ore,,,,
1723B,hot,,,,
1723C,a surname,,,,
1723D,dirty,,,,
1723E,ash,,,,
1723F,to heat up,,,,
17240,to roast,,,,
17241,to cook,,,,
17242,concubine,,,,
17243,lamp,,,,
17244,to stir-fry,,,,
17245,hot,,,,
17246,a transliteration,,,,
17247,rapid,,,,
17248,,,,,
17249,cool,,,,
1724A,burning hot,,,,
1724B,to gather,,,,
1724C,butterfly,,,,
1724D,to hold,,,,
1724E,eulogy,,,,
1724F,to face upward or downward,,,,
17250,thatched hut,,,,
17251,post,,,,
17252,,,,,
17253,house,,,,
17254,a transliteration,,,,
17255,saint,,,,
17256,small,,,,
17257,to lie,,,,
17258,a pronoun,,,,
17259,mad,,,,
1725A,blood relations,,,,
1725B,vexed,,,,
1725C,to struggle,,,,
1725D,cogongrass,,,,
1725E,to float,,,,
1725F,cat,,,,
17260,camel,,,,
17261,uneven,,,,
17262,hand,,,,
17263,scheme,,,,
17264,to carry on the back,,,,
17265,eating one's fill,,,,
17266,,,,,
17267,door,,,,
17268,five,,,,
17269,to bite,,,,
1726A,vexation,,,,
1726B,recreation,,,,
1726C,to offer sacrifices to god or ancestors,,,,
1726D,scheme,,,,
1726E,immediately,,,,
1726F,pan,,,,
17270,to seek,,,,
17271,to flatter,,,,
17272,other,,,,
17273,hoe,,,,
17274,lean meat,,,,
17275,to know,,,,
17276,lonely,,,,
17277,be inverted,,,,
17278,marsh,,,,
17279,to mix,,,,
1727A,sand,,,,
1727B,to analyze,,,,
1727C,tasteless,,,,
1727D,clean,,,,
1727E,to mix,,,,
1727F,saliva,,,,
17280,ditch,,,,
17281,mud,,,,
17282,boat,,,,
17283,wine,,,,
17284,a nail,,,,
17285,to drink,,,,
17286,to rub,,,,
17287,dried up,,,,
17288,to howl,,,,
17289,lubrication,,,,
1728A,reed,,,,
1728B,moisture,,,,
1728C,sweat,,,,
1728D,a kind of bird,,,,
1728E,dysentery,,,,
1728F,pearl,,,,
17290,calf,,,,
17291,water spring,,,,
17292,dregs,,,,
17293,fountainhead,,,,
17294,to mix,,,,
17295,one of,,,,
17296,wine,,,,
17297,soft,,,,
17298,to mix,,,,
17299,a surname,,,,
1729A,otter,,,,
1729B,a transliteration,,,,
1729C,milk,,,,
1729D,to cross,,,,
1729E,honest,,,,
1729F,sound,,,,
172A0,a surname,,,,
172A1,a surname,,,,
172A2,heavy,,,,
172A3,oral cavity,,,,
172A4,a transliteration,,,,
172A5,moist,,,,
172A6,to wash,,,,
172A7,river,,,,
172A8,dirt,,,,
172A9,harmonious,,,,
172AA,country,,,,
172AB,ice,,,,
172AC,lining,,,,
172AD,dropsy,,,,
172AE,drunkenness,,,,
172AF,well,,,,
172B0,a bottle,,,,
172B1,poetry,,,,
172B2,,,,,
172B3,a transliteration,,,,
172B4,blood,,,,
172B5,strong,,,,
172B6,"a thin white silk used in ancient China, plain color",,,,
172B7,cold,,,,
172B8,in the past,,,,
172B9,crooked,,,,
172BA,a surname,,,,
172BB,sweat,,,,
172BC,to fluctuate,,,,
172BD,tear,,,,
172BE,a place name,,,,
172BF,to ooze,,,,
172C0,to flow,,,,
172C1,to drink,,,,
172C2,to need,,,,
172C3,limit,,,,
172C4,oneself,,,,
172C5,to mix,,,,
172C6,eye socket,,,,
172C7,bent,,,,
172C8,mouth,,,,
172C9,marsh,,,,
172CA,canal,,,,
172CB,mud,,,,
172CC,the ninth of the ten Heavenly Stems,,,,
172CD,alms bowl,,,,
172CE,to bustle,,,,
172CF,a kind of food,,,,
172D0,to have,,,,
172D1,cloud,,,,
172D2,stalk,,,,
172D3,breeding,,,,
172D4,sweet,,,,
172D5,other,,,,
172D6,duck,,,,
172D7,exhaustion,,,,
172D8,boots,,,,
172D9,a surname,,,,
172DA,a prefix means something is already done,,,,
172DB,moisture,,,,
172DC,a transliteration,,,,
172DD,to wash,,,,
172DE,lubrication,,,,
172DF,crooked,,,,
172E0,glutinous (rice),,,,
172E1,colored glaze,,,,
172E2,rope,,,,
172E3,ghost,,,,
172E4,cheese,,,,
172E5,peace,,,,
