021DD,zigrarr;
021E4,larrb;
021E4,LeftArrowBar;
021E5,rarrb;
021E5,RightArrowBar;
021F5,DownArrowUpArrow;
021F5,duarr;
021FD,loarr;
021FE,roarr;
021FF,hoarr;
00022,quot
00022,QUOT
00022,quot;
00022,QUOT;
022A0,boxtimes;
022A0,timesb;
022A1,dotsquare;
022A1,sdotb;
022A2,RightTee;
022A2,vdash;
022A3,dashv;
022A3,LeftTee;
022A4,DownTee;
022A4,top;
022A5,bot;
022A5,bottom;
022A5,perp;
022A5,UpTee;
022A7,models;
022A8,DoubleRightTee;
022A8,vDash;
022A9,Vdash;
022AA,Vvdash;
022AB,VDash;
022AC,nvdash;
022AD,nvDash;
022AE,nVdash;
022AF,nVDash;
022B0,prurel;
022B2,LeftTriangle;
022B2,vartriangleleft;
022B2,vltri;
022B3,RightTriangle;
022B3,vartriangleright;
022B3,vrtri;
022B4 020D2,nvltrie;
022B4,LeftTriangleEqual;
022B4,ltrie;
022B4,trianglelefteq;
022B5 020D2,nvrtrie;
022B5,RightTriangleEqual;
022B5,rtrie;
022B5,trianglerighteq;
022B6,origof;
022B7,imof;
022B8,multimap;
022B8,mumap;
022B9,hercon;
022BA,intcal;
022BA,intercal;
022BB,veebar;
022BD,barvee;
022BE,angrtvb;
022BF,lrtri;
022C0,bigwedge;
022C0,Wedge;
022C0,xwedge;
022C1,bigvee;
022C1,Vee;
022C1,xvee;
022C2,bigcap;
022C2,Intersection;
022C2,xcap;
022C3,bigcup;
022C3,Union;
022C3,xcup;
022C4,diam;
022C4,diamond;
022C4,Diamond;
022C5,sdot;
022C6,sstarf;
022C6,Star;
022C7,divideontimes;
022C7,divonx;
022C8,bowtie;
022C9,ltimes;
022CA,rtimes;
022CB,leftthreetimes;
022CB,lthree;
022CC,rightthreetimes;
022CC,rthree;
022CD,backsimeq;
022CD,bsime;
022CE,curlyvee;
022CE,cuvee;
022CF,curlywedge;
022CF,cuwed;
022D0,Sub;
022D0,Subset;
022D1,Sup;
022D1,Supset;
022D2,Cap;
022D3,Cup;
022D4,fork;
022D4,pitchfork;
022D5,epar;
022D6,lessdot;
022D6,ltdot;
022D7,gtdot;
022D7,gtrdot;
022D8 00338,nLl;
022D8,Ll;
022D9 00338,nGg;
022D9,Gg;
022D9,ggg;
022DA 0FE00,lesg;
022DA,leg;
022DA,lesseqgtr;
022DA,LessEqualGreater;
022DB 0FE00,gesl;
022DB,gel;
022DB,GreaterEqualLess;
022DB,gtreqless;
022DE,cuepr;
022DE,curlyeqprec;
022DF,cuesc;
022DF,curlyeqsucc;
022E0,NotPrecedesSlantEqual;
022E0,nprcue;
022E1,NotSucceedsSlantEqual;
022E1,nsccue;
022E2,NotSquareSubsetEqual;
022E2,nsqsube;
022E3,NotSquareSupersetEqual;
022E3,nsqsupe;
022E6,lnsim;
022E7,gnsim;
022E8,precnsim;
022E8,prnsim;
022E9,scnsim;
022E9,succnsim;
022EA,nltri;
022EA,NotLeftTriangle;
022EA,ntriangleleft;
022EB,NotRightTriangle;
022EB,nrtri;
022EB,ntriangleright;
022EC,nltrie;
022EC,NotLeftTriangleEqual;
022EC,ntrianglelefteq;
022ED,NotRightTriangleEqual;
022ED,nrtrie;
022ED,ntrianglerighteq;
022EE,vellip;
022EF,ctdot;
022F0,utdot;
022F1,dtdot;
022F2,disin;
022F3,isinsv;
022F4,isins;
022F5 00338,notindot;
022F5,isindot;
022F6,notinvc;
022F7,notinvb;
022F9 00338,notinE;
022F9,isinE;
022FA,nisd;
022FB,xnis;
022FC,nis;
